pitch,loc bull,vis bull,factor loc,factor loc 10,Direct local win?
0,0.6854182460441635,0.6737805336905317,0.7522645808527535,0.0,0.22222222222222227,0.0
1,0.6671914492567366,0.8498713182728053,0.8120371253730936,0.7,0.7777777777777778,0.6
2,0.7007505691519637,0.5782098941950243,0.8382273869749924,0.4,0.4444444444444445,0.2
3,0.654382470119522,0.8144123534458108,0.7587209406586533,0.5,0.5000000000000001,0.6
4,0.6414342629482073,0.8119167078274885,0.7482864066961759,0.6,0.5555555555555556,0.6
5,0.6647249386293211,0.7829816861657819,0.7954015782372261,0.09999999999999998,0.27777777777777785,0.4
6,0.7311235825927062,0.771709083976742,0.7699959527820622,0.6,0.4444444444444445,0.4
7,0.658813023767001,0.8212753788961967,0.70632854652862,0.5,0.33333333333333337,0.2
8,0.638054923164485,0.8674864169287961,0.8015589914381022,0.8,0.6666666666666667,0.4
9,0.6631742261722342,0.7328879299139522,0.7784107687205556,0.4,0.44444444444444453,0.4
10,0.6928230008007672,0.7755218758936231,0.45500186515273794,0.5,0.44444444444444453,0.4
11,0.5847636240751282,0.7926794395195882,0.4562032355226036,0.3,0.5000000000000001,0.4
12,0.5935701637892874,0.3252658122546599,0.6387514632236804,0.4,0.2222222222222222,0.6
13,0.21513944223107578,0.6496997426365456,0.7419577592120625,0.6,0.44444444444444453,0.2
14,0.6460586226522482,0.835573348584501,0.7065087520840999,0.4,0.611111111111111,0.4
15,0.6048160299976565,0.5756867230735588,0.7379245872560851,0.5,0.5000000000000001,0.8
16,0.6986248554170416,0.7775404127907954,0.7940886520473016,0.7,0.6111111111111112,0.4
17,0.6541431675893828,0.8418644552473549,0.7627328853938096,0.5,0.38888888888888895,0.4
18,0.6959954300445279,0.8119167078274885,0.8319800880432856,0.5,0.33333333333333337,0.2
19,0.6054670208056663,0.6527098415182939,0.7003343406831855,0.6,0.6666666666666667,0.4
20,0.7140470376558283,0.8418644552473549,0.6080444365699158,0.3,0.38888888888888895,0.6
21,0.5553500284575983,0.6313983414355162,0.8729481701301094,0.6,0.6666666666666667,0.2
22,0.6852165072429178,0.8303056755414415,0.5780221910269748,0.09999999999999998,0.38888888888888895,0.2
23,0.6239794516515221,0.7354875607663711,0.723267868743725,0.7,0.6666666666666666,0.6
24,0.685632470119522,0.5687512373243,0.7998473947985052,0.5,0.5555555555555556,0.6
25,0.6668316652743864,0.8503112558016762,0.7084009104166382,0.7,0.6666666666666666,0.4
26,0.6208348424483884,0.5189754483434781,0.70632854652862,0.2,0.38888888888888895,0.6
27,0.6213360842344907,0.8677017275311611,0.6649413372867504,0.8,0.7222222222222222,0.8
28,0.6205518833755886,0.7728822507203977,0.7240517629100622,0.6,0.33333333333333337,0.4
29,0.7413571520370134,0.8899056334000572,0.7910702089930143,0.6,0.5555555555555556,0.8
30,0.6621135037159483,0.7620037954610446,0.7359723604050536,0.8,0.6666666666666666,0.6
31,0.6778793915248099,0.7107044133066438,0.8158172834484283,0.6,0.611111111111111,0.6
32,0.5854714781427287,0.7436148277470915,0.6307142954492796,0.6,0.6666666666666666,0.8
33,0.6175022133687473,0.8158572009090499,0.6933113452269,0.7,0.8333333333333333,0.8
34,0.6255989115433691,0.8410325733745808,0.7990443048229972,0.5,0.611111111111111,0.6
35,0.7009823952055029,0.8392499693614935,0.7900577383063052,0.5,0.5000000000000001,0.8
36,0.6546728446714709,0.8148102099936592,0.7464438701832625,0.5,0.6666666666666667,0.6
37,0.6118889825314129,0.8227673409506285,0.7342346639772122,0.3,0.611111111111111,0.4
38,0.6201305887560868,0.48956248212753783,0.7872080762926168,0.30000000000000004,0.38888888888888895,0.8
39,0.6827689243027889,0.47150188883704824,0.7266467229089719,0.5,0.5555555555555556,1.0
