Fecha,Local,Visit,Local pitcher,Visit pitcher
313,20170515.0,Diamondbacks,Mets,Z. Godley,Z. Wheeler
10028,20220601.0,Blue,White,H. Ryu,M. Kopech 
6862,20200831.0,Angels,Mariners,J. Barria,M. Gonzales 
1591,20170831.0,Brewers,Nationals,Z. Davies ,G. Gonzalez 
3273,20180710.0,Padres,Dodgers,E. Lauer ,R. Hill 
9552,20220422.0,Astros,Blue,J. Verlander,R. Stripling
7211,20210403.0,Phillies,Braves,Z. Wheeler ,C. Morton 
8795,20210815.0,Tigers,Guardians,D. Hutchison ,T. McKenzie 
5894,20190815.0,Braves,Mets,J. Teheran ,M. Stroman 
606,20170609.0,R.Sox,Tigers,B. Johnson,J. Zimmermann
6053,20190828.0,Astros,Rays,G. Cole,R. Yarbrough
5046,20190601.0,Braves,Tigers,M. Soroka ,D. Norris 
4630,20190427.0,Blue,Athletics,A. Sanchez ,B. Anderson 
9291,20210926.0,Twins,Blue,G. Jax ,A. Manoah 
2292,20180424.0,Rangers,Athletics,C. Hamels ,A. Triggs 
3614,20180811.0,Blue,Rays,S. Gaviglio ,R. Stanek
117,20170429.0,Tigers,White,M. Fulmer,D. Holland
3881,20180902.0,Padres,Rockies,J. Nix ,K. Freeland 
7824,20210524.0,Marlins,Phillies,T. Rogers,Z. Eflin 
3503,20180802.0,Phillies,Marlins,N. Pivetta,P. Lopez
4459,20190412.0,Nationals,Pirates,P. Corbin,T. Williams
1683,20170908.0,Guardians,Orioles,M. Clevinger ,W. Miley 
4458,20190412.0,Yankees,White,J.A. Happ ,L. Giolito 
7977,20210605.0,Giants,Cubs,K. Gausman ,K. Stewart 
9146,20210914.0,Rangers,Astros,J. Lyles ,Z. Greinke 
9189,20210918.0,Royals,Mariners,K. Bubic ,Y. Kikuchi 
9540,20220421.0,Royals,Twins,Z. Greinke ,J. Ryan 
4385,20190405.0,Brewers,Cubs,B. Woodruff,J. Quintana 
3764,20180823.0,Twins,Athletics,K. Stewart,T. Cahill 
5200,20190614.0,White,Yankees,L. Giolito ,C. Sabathia 
3287,20180712.0,Astros,Athletics,C. Morton,T. Cahill
9307,20210928.0,Mets,Marlins,N. Syndergaard,T. Rogers
3498,20180801.0,Cardinals,Rockies,L. Weaver,K. Freeland 
10572,20220715.0,Giants,Brewers,A. Wood,B. Woodruff
9008,20210902.0,Rockies,Braves,C. Gonzalez,T. Toussaint
1522,20170826.0,Marlins,Padres,O. Despaigne,D. Lamet
1308,20170809.0,Nationals,Marlins,G. Gonzalez ,A. Conley 
4047,20180916.0,Braves,Nationals,S. Newcomb ,T. Roark 
5515,20190714.0,Marlins,Mets,S. Alcantara ,J. deGrom 
8663,20210805.0,Marlins,Mets,B. Garrett,R. Hill
8401,20210711.0,Twins,Tigers,J. Berrios,W. Peralta
1084,20170721.0,Mariners,Yankees,A. Moore ,C. Sabathia 
3345,20180720.0,Phillies,Padres,J. Arrieta,C. Richard 
4329,20190331.0,Royals,White,J. Lopez ,L. Giolito 
1332,20170811.0,Brewers,Reds,J. Nelson ,H. Bailey 
5295,20190622.0,Cardinals,Angels,D. Hudson ,N. Ramirez
7991,20210606.0,Rangers,Rays,D. Dunning,M. Wacha
3957,20180909.0,Blue,Guardians,T. Pannone ,M. Clevinger 
9708,20220505.0,Phillies,Mets,A. Nola,T. Walker
9829,20220516.0,Marlins,Nationals,S. Alcantara ,A. Sanchez 
5174,20190612.0,R.Sox,Rangers,R. Porcello,L. Lynn
1507,20170825.0,Braves,Rockies,J. Teheran ,C. Bettis 
9046,20210905.0,Diamondbacks,Mariners,T. Gilbert,C. Flexen
8334,20210705.0,Padres,Nationals,J. Musgrove,J. Lester
6199,20190909.0,Angels,Guardians,P. Sandoval ,S. Bieber 
3505,20180802.0,R.Sox,Yankees,B. Johnson ,C. Sabathia
5693,20190728.0,Cardinals,Astros,D. Hudson ,W. Miley 
3374,20180722.0,Nationals,Braves,M. Scherzer ,M. Foltynewicz 
4552,20190420.0,Cubs,Diamondbacks,Y. Darvish ,Z. Greinke 
10046,20220603.0,Orioles,Guardians,B. Zimmermann ,S. Bieber 
1717,20170910.0,Rangers,Yankees,A.J. Griffin ,J. Montgomery
6378,20190924.0,Diamondbacks,Cardinals,M. Leake,J. Flaherty
979,20170709.0,Mariners,Athletics,F. Hernandez ,D. Gossett 
5919,20190817.0,Braves,Dodgers,M. Foltynewicz,H. Ryu 
8658,20210804.0,Cardinals,Braves,J.A. Happ,D. Smyly
1715,20170910.0,Cardinals,Pirates,M. Wacha ,I. Nova 
2547,20180513.0,Astros,Rangers,D. Keuchel ,M. Moore 
6061,20190829.0,Mets,Cubs,J. deGrom ,J. Lester 
3717,20180819.0,Twins,Tigers,J. Odorizzi,B. Farmer
8799,20210815.0,Giants,Rockies,A. Wood ,J. Gray 
2573,20180515.0,Twins,Cardinals,J. Berrios ,J. Flaherty
1409,20170817.0,Mets,Yankees,S. Matz ,L. Severino 
6992,20200911.0,Royals,Pirates,K. Bubic ,S. Brault 
8894,20210823.0,Athletics,Mariners,P. Blackburn,M. Gonzales
436,20170526.0,Pirates,Mets,C. Kuhl ,J. deGrom 
3522,20180803.0,Mariners,Blue,M. Gonzales ,R. Borucki 
10154,20220612.0,White,Rangers,M. Kopech,J. Gray
2226,20180419.0,Cubs,Cardinals,J. Lester ,L. Weaver 
7561,20210502.0,Blue,Braves,R. Stripling,I. Anderson 
9284,20210925.0,Angels,Mariners,J. Barria,T. Anderson 
2321,20180426.0,Guardians,Mariners,M. Clevinger,J. Paxton
10021,20220601.0,Cardinals,Padres,D. Hudson ,Y. Darvish 
3546,20180805.0,Cubs,Padres,J. Lester,J. Lucchesi
3774,20180824.0,Angels,Astros,A. Heaney ,D. Keuchel 
5886,20190814.0,Braves,Mets,D. Keuchel,S. Matz
4129,20180923.0,Tigers,Royals,D. Norris,B. Keller 
6159,20190906.0,Rays,Blue,B. McKay,C. Buchholz 
7116,20200922.0,Diamondbacks,Rangers,C. Smith,J. Lyles 
1885,20170924.0,White,Royals,L. Giolito ,I. Kennedy 
8948,20210828.0,Pirates,Cardinals,S. Brault ,A. Wainwright 
9101,20210910.0,Mariners,Diamondbacks,M. Gonzales ,M. Bumgarner 
696,20170616.0,Athletics,Yankees,S. Manaea,L. Severino
7473,20210425.0,R.Sox,Mariners,E. Rodriguez ,N. Margevicius 
10350,20220628.0,Diamondbacks,Padres,Z. Gallen,S. Manaea
6777,20200823.0,Orioles,R.Sox,W. LeBlanc,Z. Godley 
6309,20190918.0,Brewers,Padres,A. Houser ,D. Lamet 
4104,20180921.0,Blue,Rays,S. Reid-Foley ,D. Castillo
2215,20180418.0,Athletics,White,A. Triggs,C. Fulmer
6230,20190912.0,Tigers,Yankees,S. Turnbull ,C. Sabathia
9172,20210917.0,R.Sox,Orioles,C. Sale ,K. Akin 
9410,20220410.0,Phillies,Athletics,Z. Eflin,D. Jefferies 
8396,20210710.0,Padres,Rockies,J. Musgrove ,G. Marquez 
292,20170513.0,Angels,Tigers,R. Nolasco,D. Norris
3775,20180824.0,Dodgers,Padres,R. Hill ,C. Richard 
8352,20210707.0,Mets,Brewers,J. deGrom,C. Burnes
5848,20190811.0,Mets,Nationals,J. deGrom,A. Sanchez
4302,20190328.0,Mariners,R.Sox,M. Gonzales ,C. Sale 
1653,20170905.0,White,Guardians,D. Holmberg ,D. Salazar
1178,20170729.0,Nationals,Rockies,T. Roark ,G. Marquez 
4980,20190526.0,Angels,Rangers,A. Heaney,A. Jurado
2959,20180615.0,Cardinals,Cubs,M. Wacha ,J. Lester 
9456,20220414.0,Marlins,Phillies,S. Alcantara ,K. Gibson 
8642,20210803.0,White,Royals,D. Cease ,K. Bubic 
637,20170611.0,Cardinals,Phillies,A. Wainwright ,A. Nola 
6389,20190925.0,Rangers,R.Sox,K. Allard ,R. Porcello 
1860,20170922.0,Athletics,Rangers,K. Graveman ,N. Martinez 
5824,20190809.0,Twins,Guardians,D. Smeltzer ,S. Bieber 
6041,20190827.0,Giants,Diamondbacks,J. Samardzija,M. Leake 
678,20170615.0,Twins,Mariners,J. Berrios ,A. Miranda 
7179,20200927.0,Diamondbacks,Rockies,M. Bumgarner ,K. Freeland 
4660,20190429.0,Brewers,Rockies,Z. Davies ,K. Freeland 
1140,20170726.0,Mariners,R.Sox,A. Moore ,C. Sale 
7429,20210421.0,Padres,Brewers,D. Lamet,A. Houser
668,20170614.0,Pirates,Rockies,C. Kuhl ,G. Marquez 
5675,20190727.0,Brewers,Cubs,C. Anderson,J. Lester
6995,20200911.0,Twins,Guardians,K. Maeda ,S. Bieber 
6581,20200805.0,Nationals,Mets,M. Scherzer,R. Porcello 
3796,20180826.0,Brewers,Pirates,C. Anderson ,C. Archer 
6700,20200816.0,Astros,Mariners,L. McCullers Jr.,J. Sheffield
8451,20210718.0,Blue,Rangers,S. Matz ,M. Foltynewicz 
3215,20180706.0,Twins,Orioles,L. Lynn ,D. Bundy 
1114,20170723.0,Dodgers,Braves,C. Kershaw,S. Newcomb
2638,20180520.0,Angels,Rays,S. Ohtani ,S. Romo
7178,20200927.0,Blue,Orioles,T. Roark,K. Akin
5597,20190720.0,Twins,Athletics,J. Berrios,B. Anderson
8280,20210701.0,White,Twins,C. Rodon,J. Berrios
9374,20211003.0,Astros,Athletics,J. Urquidy,C. Irvin
4771,20190509.0,Diamondbacks,Braves,L. Weaver,M. Soroka
46,20170423.0,Reds,Cubs,B. Arroyo ,J. Lackey 
8924,20210826.0,Mets,Giants,C. Carrasco,A. Wood
6155,20190906.0,Tigers,Athletics,G. Soto,M. Fiers 
9980,20220528.0,Mets,Phillies,T. Walker ,Z. Eflin 
1385,20170815.0,Twins,Guardians,B. Colon ,D. Salazar 
3632,20180812.0,Braves,Brewers,S. Newcomb,C. Anderson
4102,20180921.0,Nationals,Mets,J. Ross ,J. deGrom 
9053,20210906.0,Cubs,Reds,J. Steele,S. Gray
1392,20170816.0,Athletics,Royals,P. Blackburn,D. Duffy
3737,20180821.0,Mets,Giants,S. Matz,C. Stratton
3405,20180725.0,Rays,Yankees,R. Stanek,L. Cessa 
6245,20190913.0,Rockies,Padres,J. Hoffman ,J. Lucchesi 
9423,20220411.0,Royals,Guardians,C. Hernandez,A. Civale
9193,20210918.0,Giants,Braves,A. Wood,C. Morton 
10246,20220620.0,R.Sox,Tigers,J. Winckowski ,A. Faedo 
3765,20180824.0,Orioles,Yankees,A. Cobb,C. Sabathia
5047,20190601.0,Reds,Nationals,T. Roark ,E. Fedde
5474,20190707.0,Braves,Marlins,D. Keuchel ,T. Richards 
8045,20210612.0,Nationals,Giants,E. Fedde ,K. Gausman 
4947,20190524.0,Twins,White,J. Berrios ,R. Lopez 
8298,20210702.0,Mariners,Rangers,L. Gilbert,K. Gibson
9405,20220409.0,Royals,Guardians,B. Keller,Z. Plesac
5603,20190721.0,Yankees,Rockies,J. Paxton ,G. Marquez 
9622,20220428.0,Nationals,Marlins,P. Corbin ,T. Rogers 
7501,20210427.0,Rays,Athletics,M. Wacha,F. Montas 
10053,20220603.0,Rockies,Braves,C. Kuhl,M. Fried
2574,20180515.0,Royals,Rays,I. Kennedy,A. Banda
1652,20170905.0,Rays,Twins,J. Odorizzi ,B. Colon 
5101,20190606.0,Mariners,Astros,T. Milone,J. Verlander
6967,20200908.0,Giants,Mariners,L. Webb,L. Newsome
8042,20210611.0,Diamondbacks,Angels,M. Kelly,S. Ohtani
5541,20190716.0,Marlins,Padres,J. Yamamoto ,L. Allen 
6086,20190831.0,Nationals,Marlins,S. Strasburg ,P. Lopez 
575,20170606.0,Brewers,Giants,C. Anderson ,M. Cain 
8030,20210610.0,Athletics,Royals,F. Montas ,M. Minor 
9254,20210923.0,Twins,Blue,M. Pineda ,S. Matz
7256,20210406.0,Mariners,White,J. Paxton,L. Giolito 
4152,20180925.0,Rays,Yankees,J. Faria ,L. Severino 
7488,20210426.0,Orioles,Yankees,M. Harvey ,D. Garcia 
4282,20190325.0,Diamondbacks,White,L. Weaver,E. Santana
6886,20200902.0,Brewers,Tigers,A. Houser,S. Turnbull
2569,20180515.0,Mets,Blue,N. Syndergaard ,J. Garcia 
2437,20180505.0,Rays,Blue,J. Faria ,A. Sanchez 
8223,20210626.0,Mets,Phillies,J. deGrom,Z. Eflin
6642,20200810.0,Dodgers,Padres,D. May ,L. Perdomo
9693,20220504.0,Royals,Cardinals,K. Bubic ,A. Wainwright 
2548,20180513.0,Cubs,White,K. Hendricks ,L. Giolito 
6085,20190831.0,Tigers,Twins,M. Boyd ,M. Perez 
5498,20190713.0,Cubs,Pirates,J. Lester ,J. Lyles 
444,20170526.0,Rockies,Cardinals,A. Senzatela ,C. Martinez 
9358,20211002.0,Pirates,Reds,M. Kranick,T. Mahle
8373,20210709.0,Mets,Pirates,T. Walker,J. Brubaker 
4950,20190524.0,Angels,Rangers,G. Canning,D. Smyly 
7017,20200913.0,Twins,Guardians,M. Pineda,T. McKenzie 
2660,20180522.0,Astros,Giants,G. Cole ,A. Suarez 
7026,20200914.0,Marlins,Phillies,P. Lopez ,V. Velasquez 
8730,20210810.0,Braves,Reds,D. Smyly ,S. Gray
9665,20220501.0,Giants,Nationals,A. Cobb ,J. Gray 
9617,20220427.0,Giants,Athletics,S. Long ,P. Blackburn 
9720,20220507.0,Cubs,Dodgers,D. Smyly ,C. Kershaw 
10073,20220605.0,Blue,Twins,K. Gausman ,D. Smeltzer
9946,20220525.0,Rays,Marlins,D. Rasmussen ,C. Poteet 
2666,20180523.0,Twins,Tigers,K. Gibson ,M. Fulmer 
2688,20180525.0,Cubs,Giants,K. Hendricks ,D. Holland 
4507,20190416.0,Braves,Diamondbacks,M. Fried,R. Ray
6106,20190901.0,Cardinals,Reds,D. Ponce de Leon ,L. Castillo 
5243,20190618.0,Blue,Angels,M. Stroman ,T. Skaggs 
10239,20220619.0,Tigers,Rangers,D. Hutchison,D. Dunning 
4663,20190429.0,Royals,Rays,B. Keller ,R. Stanek
3224,20180707.0,Pirates,Phillies,J. Taillon ,J. Arrieta 
7333,20210413.0,Cardinals,Nationals,J. Flaherty ,S. Strasburg 
417,20170524.0,R.Sox,Rangers,C. Sale ,M. Perez
5155,20190610.0,Braves,Pirates,K. Gausman,J. Musgrove
10260,20220621.0,Rangers,Phillies,M. Perez ,K. Gibson 
8443,20210718.0,Tigers,Twins,W. Peralta ,J.A. Happ 
6889,20200902.0,Angels,Padres,J. Teheran,D. Lamet
4898,20190520.0,Cubs,Phillies,Y. Darvish,J. Arrieta
4918,20190522.0,Cardinals,Royals,M. Wacha ,B. Keller 
4250,20190322.0,Braves,Tigers,J. Teheran,T. Ross 
5660,20190726.0,R.Sox,Yankees,A. Cashner ,J. Paxton 
7314,20210412.0,Rays,Rangers,T. Glasnow ,D. Dunning
4311,20190330.0,Nationals,Mets,S. Strasburg,N. Syndergaard
3853,20180831.0,Royals,Orioles,B. Keller ,A. Cashner 
9153,20210915.0,Blue,Rays,R. Ray ,M. Wacha 
1233,20170802.0,Rockies,Mets,T. Chatwood ,C. Flexen
883,20170701.0,Cardinals,Nationals,M. Wacha ,G. Gonzalez 
853,20170629.0,Nationals,Cubs,J. Ross,J. Lester
5914,20190817.0,Reds,Cardinals,A. DeSclafani ,M. Mikolas 
6578,20200804.0,Padres,Dodgers,D. Lamet,D. May 
9256,20210924.0,Braves,Padres,B. Wilson,R. Knehr
2937,20180613.0,Tigers,Twins,M. Boyd,J. Berrios
8503,20210723.0,R.Sox,Yankees,E. Rodriguez,G. Cole 
6644,20200811.0,Phillies,Orioles,Z. Wheeler,A. Cobb
6997,20200911.0,Marlins,Phillies,D. Castano,B. Parker
10033,20220602.0,Tigers,Twins,A. Faedo,C. Archer
7556,20210501.0,Brewers,Dodgers,B. Woodruff,D. May
4164,20180926.0,Reds,Royals,C. Reed ,H. Fillmyer 
5536,20190715.0,Angels,Astros,G. Canning,J. James
1014,20170716.0,Mets,Rockies,S. Matz ,J. Hoffman 
10002,20220530.0,Rockies,Marlins,R. Feltner ,P. Lopez
4178,20180927.0,Cubs,Pirates,J. Lester ,T. Williams 
9945,20220525.0,Reds,Cubs,L. Castillo ,K. Hendricks 
2187,20180416.0,Pirates,Rockies,S. Brault ,G. Marquez 
4954,20190525.0,Cubs,Reds,Y. Darvish,T. Mahle
7398,20210418.0,Padres,Dodgers,B. Snell,T. Bauer
8818,20210817.0,Cardinals,Brewers,A. Wainwright ,C. Burnes 
8225,20210626.0,Tigers,Astros,W. Peralta,L. McCullers Jr. 
7583,20210504.0,Nationals,Braves,J. Ross ,H. Ynoa 
4293,20190328.0,Blue,Tigers,M. Stroman,J. Zimmermann
1857,20170922.0,White,Royals,R. Lopez ,J. Hammel 
8025,20210610.0,Tigers,Mariners,T. Alexander,J. Sheffield 
3958,20180909.0,Tigers,Cardinals,M. Fulmer ,J. Gant 
5827,20190809.0,Padres,Rockies,C. Quantrill ,K. Freeland 
5566,20190718.0,Yankees,Rays,D. German ,Y. Chirinos 
1893,20170925.0,Yankees,Royals,C. Sabathia ,J. Junis 
3146,20180630.0,Yankees,R.Sox,S. Gray ,C. Sale 
9596,20220426.0,Yankees,Orioles,L. Severino ,J. Lyles 
2043,20180403.0,Mets,Phillies,M. Harvey,B. Lively 
6736,20200819.0,Twins,Brewers,R. Hill ,B. Anderson 
4666,20190430.0,Phillies,Tigers,V. Velasquez ,S. Turnbull 
7284,20210409.0,Blue,Angels,D. Phelps,A. Heaney 
7558,20210501.0,Padres,Giants,B. Snell ,A. DeSclafani 
8243,20210627.0,Dodgers,Cubs,C. Kershaw ,A. Alzolay 
8631,20210802.0,Yankees,Orioles,A. Heaney ,J. Lopez 
8402,20210711.0,Astros,Yankees,F. Valdez,J. Taillon
1891,20170924.0,Padres,Rockies,L. Perdomo ,G. Marquez 
8457,20210719.0,Nationals,Marlins,J. Lester ,R. Detwiler 
9458,20220414.0,Rangers,Angels,D. Dunning,S. Ohtani 
4466,20190412.0,Mariners,Astros,W. LeBlanc,W. Miley
7051,20200916.0,Astros,Rangers,L. McCullers Jr.,K. Gibson 
5273,20190620.0,Blue,Angels,C. Richard,J. Suarez
13,20170420.0,Reds,Orioles,S. Feldman,W. Miley
3947,20180908.0,Tigers,Cardinals,M. Boyd,J. Flaherty
8939,20210827.0,Dodgers,Rockies,B. Graterol,K. Freeland 
4614,20190425.0,Astros,Guardians,G. Cole ,T. Bauer 
7485,20210426.0,Tigers,Royals,S. Turnbull ,B. Keller 
9029,20210904.0,Marlins,Phillies,T. Rogers,R. Suarez
9234,20210922.0,Marlins,Nationals,E. Hernandez ,J. Gray 
4785,20190510.0,Dodgers,Nationals,K. Maeda ,A. Sanchez 
9499,20220418.0,R.Sox,Twins,R. Hill ,D. Bundy 
7903,20210530.0,Guardians,Blue,S. Hentges,S. Matz
2779,20180531.0,Braves,Nationals,S. Newcomb ,T. Roark 
5917,20190817.0,R.Sox,Orioles,E. Rodriguez ,A. Wojciechowski 
8417,20210716.0,Royals,Orioles,D. Duffy,K. Akin 
3206,20180705.0,Mariners,Angels,M. Gonzales ,J. Barria 
1203,20170731.0,R.Sox,Guardians,D. Fister ,M. Clevinger 
8043,20210611.0,Athletics,Royals,C. Irvin,B. Singer
3285,20180711.0,Angels,Mariners,J. Barria ,M. Gonzales 
4357,20190402.0,Mariners,Angels,M. Gonzales ,T. Cahill
10201,20220616.0,Nationals,Phillies,P. Corbin ,Z. Wheeler 
9463,20220415.0,Mets,Diamondbacks,C. Bassitt ,Z. Davies 
1566,20170830.0,Yankees,Guardians,J. Garcia ,T. Bauer 
2777,20180531.0,Mets,Cubs,S. Lugo,J. Quintana 
712,20170617.0,Pirates,Cubs,I. Nova ,J. Arrieta 
10519,20220712.0,Marlins,Pirates,D. Castano ,C. Stratton
2307,20180425.0,Guardians,Cubs,T. Bauer ,J. Lester 
2790,20180601.0,Diamondbacks,Marlins,C. Buchholz ,E. Hernandez 
3202,20180705.0,Brewers,Braves,J. Chacin ,M. Fried 
9806,20220514.0,Rays,Blue,R. Yarbrough,H. Ryu
7121,20200923.0,Padres,Angels,M. Clevinger,J. Barria
321,20170516.0,Tigers,Orioles,M. Boyd,W. Miley
7535,20210430.0,Nationals,Marlins,J. Lester,P. Lopez
29,20170421.0,Diamondbacks,Dodgers,T. Walker,A. Wood
1844,20170921.0,Reds,Cardinals,H. Bailey ,C. Martinez 
9712,20220505.0,Mariners,Rays,R. Ray ,S. McClanahan 
7147,20200925.0,Yankees,Marlins,J.A. Happ,S. Alcantara
1798,20170917.0,Phillies,Athletics,H. Alvarez ,S. Manaea 
2969,20180616.0,Rangers,Rockies,M. Minor,K. Freeland
8813,20210817.0,Yankees,R.Sox,L. Gil,N. Eovaldi 
7266,20210407.0,Nationals,Braves,S. Strasburg,H. Ynoa
6268,20190915.0,Guardians,Twins,S. Bieber,R. Dobnak
3525,20180804.0,Phillies,Marlins,Z. Eflin ,J. Urena 
8518,20210724.0,Orioles,Nationals,M. Harvey ,J. Lester 
5225,20190616.0,Marlins,Pirates,S. Alcantara,C. Archer
7072,20200918.0,Phillies,Blue,D. Hale,R. Stripling
449,20170527.0,Twins,Rays,A. Mejia,J. Odorizzi
7374,20210417.0,Royals,Blue,M. Minor ,S. Matz 
6673,20200814.0,Orioles,Nationals,T. Milone ,S. Strasburg
10306,20220625.0,Cardinals,Cubs,M. Mikolas,A. Sampson
4807,20190512.0,Twins,Tigers,M. Perez ,D. Norris 
8514,20210724.0,Cubs,Diamondbacks,A. Mills,M. Kelly 
10292,20220624.0,Yankees,Astros,L. Severino ,J. Verlander 
1183,20170729.0,Marlins,Reds,A. Conley ,T. Adleman 
223,20170507.0,Mariners,Rangers,D. Overton,A. Cashner
1360,20170813.0,Rangers,Astros,A. Cashner ,D. Keuchel 
10591,20220717.0,Marlins,Phillies,T. Rogers ,A. Nola 
5883,20190814.0,Phillies,Cubs,A. Nola ,C. Hamels 
2173,20180414.0,Marlins,Pirates,T. Richards,J. Taillon
2296,20180424.0,Cardinals,Mets,L. Weaver,Z. Wheeler
8423,20210716.0,Athletics,Guardians,S. Manaea,E. Morgan
5763,20190804.0,Orioles,Blue,J. Yacabonis,S. Reid-Foley 
3908,20180904.0,Diamondbacks,Padres,R. Ray ,J. Lucchesi 
2656,20180522.0,Rays,R.Sox,J. Faria ,C. Sale 
816,20170626.0,Cardinals,Reds,M. Wacha ,B. Finnegan 
4651,20190428.0,Giants,Yankees,D. Rodriguez ,D. German 
5984,20190823.0,Cubs,Nationals,J. Lester ,A. Sanchez 
1659,20170905.0,Padres,Cardinals,T. Wood ,M. Wacha 
1104,20170723.0,Rays,Rangers,J. Odorizzi,T. Ross
9352,20211001.0,Diamondbacks,Rockies,H. Castellanos,J. Gray
3286,20180711.0,Padres,Dodgers,J. Lucchesi ,K. Maeda 
9562,20220423.0,Athletics,Rangers,F. Montas ,M. Perez
8351,20210707.0,Royals,Reds,B. Singer,S. Gray 
8419,20210716.0,Cardinals,Giants,A. Wainwright ,L. Webb
8479,20210720.0,Diamondbacks,Pirates,T. Widener,T. Anderson
4254,20190322.0,Guardians,Cubs,C. Kluber ,D. Underwood Jr. 
8927,20210826.0,Padres,Dodgers,Y. Darvish ,M. Scherzer 
9038,20210905.0,Nationals,Mets,J. Gray,T. Walker
2879,20180609.0,Blue,Orioles,A. Sanchez,K. Gausman
2917,20180612.0,Tigers,Twins,B. Hardy,J. Odorizzi
8406,20210711.0,Dodgers,Diamondbacks,T. Gonsolin,M. Kelly
10222,20220618.0,Orioles,Rays,K. Bradish,J. Springs
6032,20190827.0,Phillies,Pirates,D. Smyly,S. Brault
594,20170608.0,Reds,Cardinals,S. Feldman ,M. Leake 
7408,20210420.0,Mariners,Dodgers,M. Gonzales ,J. Urias 
4258,20190323.0,Braves,Mets,J. Tomlin ,J. deGrom 
9462,20220414.0,Dodgers,Reds,W. Buehler,L. Cessa
1079,20170721.0,Twins,Tigers,E. Santana ,A. Sanchez 
6215,20190911.0,Twins,Nationals,M. Perez ,S. Strasburg 
2739,20180528.0,Padres,Marlins,E. Lauer ,C. Smith 
5240,20190617.0,Athletics,Orioles,M. Fiers ,A. Cashner 
10573,20220716.0,Twins,White,D. Bundy ,L. Lynn 
1460,20170822.0,Phillies,Marlins,A. Nola ,D. Straily 
9940,20220524.0,Giants,Mets,L. Webb,C. Bassitt
2019,20180401.0,Blue,Yankees,M. Stroman,S. Gray
2202,20180417.0,Mets,Nationals,Z. Wheeler ,G. Gonzalez 
8694,20210807.0,Athletics,Rangers,C. Irvin ,D. Anderson 
7083,20200920.0,Reds,White,M. Lorenzen,D. Cease 
3928,20180906.0,Diamondbacks,Braves,Z. Greinke,A. Sanchez
8957,20210829.0,Pirates,Cardinals,W. Crowe,K. Kim
2504,20180510.0,Diamondbacks,Nationals,Z. Greinke,T. Roark
2842,20180606.0,Guardians,Brewers,C. Carrasco ,C. Anderson 
7307,20210411.0,Rangers,Padres,M. Foltynewicz ,A. Morejon
8377,20210709.0,Twins,Tigers,K. Maeda,M. Manning 
7738,20210517.0,Cubs,Nationals,A. Alzolay ,J. Lester 
1155,20170727.0,Guardians,Angels,T. Bauer ,J. Ramirez 
8350,20210707.0,Rangers,Tigers,K. Gibson ,C. Mize
8976,20210831.0,Mets,Marlins,M. Stroman,J. Curtiss
5538,20190716.0,Phillies,Dodgers,V. Velasquez,W. Buehler
1035,20170717.0,Rockies,Padres,G. Marquez ,L. Perdomo 
3695,20180817.0,Padres,Diamondbacks,J. Lucchesi ,R. Ray
1712,20170910.0,Nationals,Phillies,S. Strasburg ,B. Lively 
2534,20180512.0,Marlins,Braves,J. Garcia,M. Soroka
7844,20210526.0,White,Cardinals,C. Rodon ,J. Gant 
4333,20190331.0,Mariners,R.Sox,W. LeBlanc ,R. Porcello 
6163,20190906.0,White,Angels,L. Giolito,D. Peters
1769,20170915.0,Guardians,Royals,T. Bauer ,J. Vargas 
994,20170714.0,Athletics,Guardians,S. Gray ,C. Carrasco 
6756,20200821.0,Guardians,Tigers,A. Plutko ,M. Fulmer
5755,20190803.0,Twins,Royals,K. Gibson ,D. Duffy 
2184,20180415.0,Dodgers,Diamondbacks,C. Kershaw ,Z. Godley 
1732,20170912.0,Blue,Orioles,J. Biagini,D. Bundy
1464,20170822.0,Guardians,R.Sox,C. Carrasco ,D. Fister 
4087,20180919.0,Padres,Giants,R. Erlin ,C. Stratton 
8139,20210619.0,Orioles,Blue,D. Kremer,A. Manoah
8990,20210901.0,Reds,Cardinals,W. Miley ,M. Mikolas
4008,20180912.0,Angels,Rangers,F. Pena ,Y. Gallardo 
5394,20190630.0,Reds,Cubs,A. DeSclafani ,J. Lester 
6495,20200727.0,Rays,Braves,T. Glasnow,M. Foltynewicz 
5979,20190822.0,Cardinals,Rockies,M. Mikolas,G. Marquez
40,20170422.0,White,Guardians,M. Pelfrey ,C. Carrasco 
6222,20190911.0,Mariners,Reds,M. Gonzales ,S. Gray 
5777,20190805.0,Rays,Blue,C. Morton ,J. Waguespack 
273,20170512.0,Brewers,Mets,M. Garza ,M. Harvey 
2720,20180527.0,Phillies,Blue,N. Pivetta ,J.A. Happ 
4923,20190522.0,Blue,R.Sox,A. Sanchez,R. Porcello
1862,20170922.0,Dodgers,Giants,R. Hill ,J. Samardzija 
2349,20180428.0,Royals,White,E. Skoglund ,D. Covey 
1618,20170902.0,Mariners,Athletics,Y. Gallardo,J. Cotton
10164,20220613.0,Rangers,Astros,T. Hearn,C. Javier
1607,20170902.0,Cubs,Braves,J. Lester ,L. Sims 
4150,20180924.0,Giants,Padres,D. Holland ,B. Mitchell 
6608,20200807.0,Rangers,Angels,J. Lyles ,G. Canning 
8742,20210811.0,Guardians,Athletics,C. Quantrill,F. Montas
2783,20180531.0,Mariners,Rangers,W. LeBlanc ,M. Minor 
