Fecha,Local,Visit,Local pitcher,Visit pitcher
7886,20210529.0,R.Sox,Marlins,N. Eovaldi ,T. Rogers 
5220,20190616.0,Reds,Rangers,S. Gray ,A. Jurado 
1275,20170806.0,Rays,Brewers,C. Archer,J. Nelson
5760,20190803.0,Rockies,Giants,J. Gray,M. Bumgarner
6719,20200818.0,Diamondbacks,Athletics,L. Weaver ,F. Montas 
4163,20180926.0,Blue,Astros,S. Reid-Foley,C. Devenski 
817,20170626.0,Nationals,Cubs,G. Gonzalez ,E. Butler 
242,20170509.0,White,Twins,M. Pelfrey ,H. Santiago 
4495,20190415.0,Phillies,Mets,A. Nola,N. Syndergaard
3998,20180912.0,Cardinals,Pirates,D. Ponce de Leon ,J. Taillon 
9382,20220407.0,Angels,Astros,S. Ohtani ,F. Valdez 
6405,20190926.0,Mariners,Athletics,F. Hernandez ,S. Manaea 
7730,20210516.0,Rockies,Reds,A. Senzatela,J. Hoffman
1700,20170909.0,White,Giants,J. Shields ,J. Samardzija 
2488,20180509.0,Yankees,R.Sox,M. Tanaka,R. Porcello
4396,20190406.0,Orioles,Yankees,D. Bundy,J.A. Happ
5326,20190624.0,Cubs,Braves,J. Lester ,J. Teheran 
8345,20210706.0,Mariners,Yankees,J. Sheffield ,J. Taillon 
3385,20180723.0,Phillies,Dodgers,Z. Eflin,R. Stripling
5380,20190629.0,Reds,Cubs,L. Castillo ,J. Quintana 
4060,20180917.0,Braves,Cardinals,M. Foltynewicz ,M. Mikolas 
4416,20190408.0,Astros,Yankees,J. Verlander,M. Tanaka
6562,20200803.0,Reds,Guardians,S. Gray ,Z. Plesac 
670,20170614.0,Guardians,Dodgers,C. Kluber,B. McCarthy
9917,20220523.0,Yankees,Orioles,G. Cole ,J. Lyles 
4322,20190331.0,Yankees,Orioles,J.A. Happ ,D. Bundy
2168,20180414.0,Nationals,Rockies,M. Scherzer ,J. Gray 
2079,20180406.0,Brewers,Cubs,B. Woodruff,K. Hendricks
246,20170510.0,Phillies,Mariners,Z. Eflin,Y. Gallardo
2134,20180411.0,Cardinals,Brewers,A. Wainwright ,J. Guerra 
7267,20210407.0,Phillies,Mets,A. Nola,D. Peterson 
4697,20190503.0,Guardians,Mariners,S. Bieber,Y. Kikuchi
7947,20210603.0,Pirates,Marlins,T. Anderson,E. Hernandez
483,20170529.0,Pirates,Diamondbacks,T. Williams,R. Delgado
8281,20210701.0,Athletics,Rangers,S. Manaea ,D. Dunning
4720,20190505.0,Pirates,Athletics,J. Lyles,F. Montas
293,20170514.0,Blue,Mariners,A. Sanchez,A. Miranda
8995,20210901.0,Blue,Orioles,S. Matz,M. Harvey
8047,20210612.0,Athletics,Royals,J. Kaprielian ,J. Kowar 
80,20170426.0,Phillies,Marlins,V. Velasquez ,W. Chen 
9524,20220420.0,Dodgers,Braves,T. Gonsolin ,C. Morton 
9923,20220523.0,Padres,Brewers,N. Martinez,A. Houser
6265,20190915.0,Phillies,R.Sox,J. Vargas ,R. Porcello 
7117,20200922.0,Padres,Angels,Z. Davies ,G. Canning 
435,20170526.0,Phillies,Reds,A. Nola ,T. Adleman 
8076,20210614.0,White,Rays,L. Lynn ,T. Glasnow
8195,20210624.0,Rays,R.Sox,M. Wacha,N. Pivetta
7744,20210518.0,Phillies,Marlins,Z. Wheeler,C. Poteet
2026,20180401.0,Dodgers,Giants,R. Hill ,C. Stratton 
6305,20190918.0,Orioles,Blue,D. Bundy,C. Buchholz
7617,20210507.0,Orioles,R.Sox,M. Harvey ,E. Rodriguez 
10293,20220624.0,Guardians,R.Sox,C. Quantrill,N. Pivetta 
9905,20220522.0,Marlins,Braves,S. Alcantara ,I. Anderson 
7080,20200918.0,Athletics,Giants,C. Bassitt ,L. Webb 
5785,20190806.0,R.Sox,Royals,A. Cashner ,J. Junis 
2230,20180419.0,Brewers,Marlins,C. Anderson ,D. Peters 
988,20170714.0,Marlins,Dodgers,D. Straily,B. McCarthy
433,20170526.0,Yankees,Athletics,M. Tanaka ,S. Manaea 
5024,20190530.0,Rays,Twins,C. Morton ,M. Perez 
