Fecha,Local,Visit,Local pitcher,Visit pitcher,pitch,loc bull,vis bull,factor loc,factor loc 10,Direct local win?,Local Win?
20170422.0,Twins,Tigers,A. Mejia,M. Boyd,0.16666666666666674,0.0,-9.372222222222222,0.0,-0.10000000000000003,0.2,0.0
20170422.0,Athletics,Mariners,J. Cotton ,A. Miranda ,0.2732919254658385,-0.5555555555555556,-4.277777777777779,0.8,0.09999999999999998,0.4,1.0
20170422.0,Mets,Nationals,J. deGrom ,G. Gonzalez ,0.7133333333333333,-0.5333333333333333,-14.738181818181816,-0.4,-0.4,0.4,0.0
20170422.0,Pirates,Yankees,J. Taillon,M. Pineda,-0.38095238095238104,-0.4727272727272728,-6.871428571428572,0.2,-0.4,1.0,0.0
20170422.0,Rays,Astros,B. Snell,C. Morton ,0.5470085470085471,-0.23529411764705885,-8.732999999999999,-0.19999999999999996,-0.5,0.6,1.0
20170422.0,Phillies,Braves,J. Eickhoff,J. Garcia,0.6468531468531469,-1.4736842105263157,-9.22235294117647,0.2,-0.09999999999999998,0.4,1.0
20170422.0,White,Guardians,M. Pelfrey ,C. Carrasco ,-1.3571428571428572,-0.44999999999999996,-16.426666666666666,-0.4,0.09999999999999998,0.6,0.0
20170422.0,Brewers,Cardinals,C. Anderson,L. Lynn ,0.5977011494252874,-0.38095238095238093,-8.88,0.2,0.09999999999999998,0.4,0.0
20170422.0,Rangers,Royals,N. Martinez,I. Kennedy,-0.6641123882503195,-0.9411764705882353,-10.4325,0.4,0.09999999999999998,1.0,1.0
20170422.0,Rockies,Giants,A. Senzatela ,M. Moore ,0.34523809523809534,-0.3888888888888889,-13.258333333333335,0.0,0.19999999999999996,0.6,1.0
20170422.0,Diamondbacks,Dodgers,R. Ray ,K. Maeda ,0.36904761904761907,-0.3999999999999999,-4.361739130434782,0.6,0.09999999999999998,0.6,1.0
20170422.0,Padres,Marlins,J. Weaver,D. Straily,0.3059006211180125,-0.8,-6.2631578947368425,0.39999999999999997,-0.09999999999999998,0.6,0.0
20170423.0,Reds,Cubs,B. Arroyo ,J. Lackey ,-0.6103896103896105,-1.6666666666666667,-10.924999999999999,-0.6000000000000001,-0.2,0.2,1.0
20170423.0,Rays,Astros,M. Andriese,J. Musgrove,0.7824074074074076,-0.7222222222222223,-7.728,0.0,-0.30000000000000004,0.6,0.0
20170423.0,Orioles,R.Sox,K. Gausman ,E. Rodriguez ,0.21767241379310343,-0.5157894736842105,-11.190588235294118,0.4,0.20000000000000007,0.4,0.0
20170423.0,Phillies,Braves,Z. Eflin,M. Foltynewicz,-0.34890109890109905,-1.368421052631579,-10.452499999999999,0.2,0.0,0.4,1.0
20170423.0,White,Guardians,D. Holland ,D. Salazar ,-0.49195402298850577,-0.4705882352941177,-20.503999999999998,-0.8,-0.09999999999999998,0.4,1.0
20170423.0,Brewers,Cardinals,J. Nelson ,M. Leake ,0.0851648351648352,-1.980952380952381,-8.177,-0.2,-0.09999999999999998,0.4,0.0
